,arrest,black,perceivedage,gender,trafficstop,raceperceivedpriortostop,tract_distancefromcal,tract_medianincome,tract_annualstops,tract_nonwhitecomp
0,0,0,30,1,1,1,1.009877144,71352,436,0.377806286
1,1,1,27,2,0,1,1.009877144,71352,436,0.377806286
2,0,0,45,1,0,0,1.009877144,71352,436,0.377806286
3,0,0,60,2,0,1,1.009877144,71352,436,0.377806286
4,1,1,25,2,0,1,1.009877144,71352,436,0.377806286
5,1,1,20,1,1,0,1.009877144,71352,436,0.377806286
6,1,1,20,1,1,0,1.009877144,71352,436,0.377806286
7,0,0,22,1,1,0,1.009877144,71352,436,0.377806286
8,1,0,1,1,1,1,1.0,1,1,1.0
9,0,1,35,1,0,1,1.009877144,71352,436,0.377806286
10,1,0,1,1,1,1,1.0,1,1,1.0
11,0,0,30,1,0,1,1.009877144,71352,436,0.377806286
12,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
13,0,1,60,1,0,1,1.009877144,71352,436,0.377806286
14,1,1,30,1,0,1,1.009877144,71352,436,0.377806286
15,0,0,25,2,1,0,1.009877144,71352,436,0.377806286
16,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
17,0,1,50,1,0,0,1.009877144,71352,436,0.377806286
18,1,0,1,1,1,1,1.0,1,1,1.0
19,0,0,28,2,1,0,1.009877144,71352,436,0.377806286
20,0,1,45,1,0,1,1.009877144,71352,436,0.377806286
21,0,1,20,2,0,1,1.009877144,71352,436,0.377806286
22,1,0,1,1,1,1,1.0,1,1,1.0
23,0,1,25,2,0,1,1.009877144,71352,436,0.377806286
24,0,0,35,2,1,0,1.009877144,71352,436,0.377806286
25,0,0,30,1,0,1,1.009877144,71352,436,0.377806286
26,0,0,30,1,0,1,1.009877144,71352,436,0.377806286
27,0,0,25,2,0,0,1.009877144,71352,436,0.377806286
28,0,0,50,1,0,1,1.009877144,71352,436,0.377806286
29,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
30,0,1,25,1,1,0,1.009877144,71352,436,0.377806286
31,1,0,1,1,1,1,1.0,1,1,1.0
32,0,1,30,2,1,0,1.009877144,71352,436,0.377806286
33,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
34,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
35,1,0,30,1,0,1,1.009877144,71352,436,0.377806286
36,1,0,19,2,0,0,1.009877144,71352,436,0.377806286
37,0,0,23,1,1,0,1.009877144,71352,436,0.377806286
38,0,0,50,2,1,0,1.009877144,71352,436,0.377806286
39,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
40,0,0,25,2,0,1,1.009877144,71352,436,0.377806286
41,0,0,45,1,1,0,1.009877144,71352,436,0.377806286
42,0,1,25,1,1,0,1.009877144,71352,436,0.377806286
43,0,0,40,1,1,0,1.009877144,71352,436,0.377806286
44,0,0,48,2,1,0,1.009877144,71352,436,0.377806286
45,0,1,45,1,0,0,1.009877144,71352,436,0.377806286
46,1,0,35,1,0,1,1.009877144,71352,436,0.377806286
47,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
48,1,0,35,1,0,1,1.009877144,71352,436,0.377806286
49,1,1,30,2,0,1,1.009877144,71352,436,0.377806286
50,0,1,60,1,0,0,1.009877144,71352,436,0.377806286
51,0,0,30,1,0,1,1.009877144,71352,436,0.377806286
52,0,1,40,1,1,0,1.009877144,71352,436,0.377806286
53,1,1,55,1,1,0,1.009877144,71352,436,0.377806286
54,0,1,40,1,1,0,1.009877144,71352,436,0.377806286
55,0,0,23,1,1,0,1.009877144,71352,436,0.377806286
56,0,0,22,1,1,0,1.009877144,71352,436,0.377806286
57,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
58,1,0,25,1,1,1,1.009877144,71352,436,0.377806286
59,1,0,1,1,1,1,1.0,1,1,1.0
60,0,1,20,2,0,1,1.009877144,71352,436,0.377806286
61,1,0,1,1,1,1,1.0,1,1,1.0
62,0,1,26,1,1,0,1.009877144,71352,436,0.377806286
63,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
64,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
65,0,0,55,2,1,0,1.009877144,71352,436,0.377806286
66,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
67,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
68,0,1,40,1,0,0,1.009877144,71352,436,0.377806286
69,0,0,40,1,0,0,1.009877144,71352,436,0.377806286
70,1,0,1,1,1,1,1.0,1,1,1.0
71,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
72,1,0,1,1,1,1,1.0,1,1,1.0
73,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
74,0,0,25,2,1,1,1.009877144,71352,436,0.377806286
75,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
76,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
77,0,1,45,1,1,0,1.009877144,71352,436,0.377806286
78,0,1,50,2,1,0,1.009877144,71352,436,0.377806286
79,0,1,60,1,0,1,1.009877144,71352,436,0.377806286
80,0,1,45,1,1,0,1.009877144,71352,436,0.377806286
81,0,0,40,2,1,0,1.009877144,71352,436,0.377806286
82,0,0,40,2,1,0,1.009877144,71352,436,0.377806286
83,0,1,60,1,0,1,1.009877144,71352,436,0.377806286
84,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
85,1,0,20,1,0,0,1.009877144,71352,436,0.377806286
