,durationofstop,raceperceivedpriortostop,gender,perceivedage,tract_medianincome,tract_totalpop,tract_whitepop,tract_nonwhitecomp,tract_poccomp,tract_nonwhitepop,tract_pocpop,tract_aapop,tract_na_aipop,tract_aisianpop,tract_hawaiian,tract_mixed2,tract_totalnumstops,tract_annualstops,tract_distancefromcal,black,white,asian,hispanic,bipoc,report_risk_groups,arrest,trafficstop,longstop
0,8,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
1,7,1,2,27,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,0
2,10,0,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
3,23,1,2,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
4,30,1,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
5,30,0,1,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,1,1
6,30,0,1,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,1,1
7,5,0,1,22,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
8,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
9,40,1,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
10,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
11,10,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
12,8,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
13,15,1,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
14,32,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
15,38,0,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,1
16,38,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,1
17,20,0,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
18,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
19,10,0,2,28,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
20,25,1,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
21,24,1,2,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
22,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
23,30,1,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
24,5,0,2,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
25,30,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
26,15,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
27,2,0,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
28,14,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,0,0
29,15,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
30,30,0,1,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
31,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
32,15,0,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
33,30,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
34,40,1,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
35,30,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
36,21,0,2,19,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,1,0,1
